Load	Indent Number	My Area	Keyence Area	Keyence Surface Area
245	5	25.6272320927	24.877	25.408
245	1	23.9693877551	24.625	25.094
4903	8	511.785777857	512.785	543.786
245	10	24.4381897472	24.66	25.25
4903	10	508.786489854	509.834	538.956
1961	2	206.202162691	206.43	215.887
490	1	55.2665539338	55.084	56.925
980	8	108.500578498	108.527	111.765
4903	4	519.514284443	520.25	548.345
2942	7	304.24750801	304.289	319.171
1961	3	215.360226059	214.997	223.328
980	4	111.862941084	110.472	114.065
4903	7	512.250800997	513.766	541.128
980	6	109.130250979	108.779	112.337
2942	9	317.191393734	317.223	337.453
4903	5	510.496395514	511.344	543.041
1961	1	216.431559274	216.238	224.882
490	7	51.3038790683	50.666	52.44
4903	6	500.209149163	503.332	530.324
1961	8	219.041575886	216.968	226.245
980	1	107.211203702	105.628	109.272
4903	9	23088450.0	515.363	553.901
980	2	108.269179423	107.468	111.276
980	3	107.086596654	106.531	110.112
2942	6	307.73740655	308.022	329.651
1961	7	213.739583567	213.322	219.272
1961	4	215.086552154	214.589	222.993
245	6	24.3278452865	24.79	25.084
4903	2	499.610626557	501.084	528.891
2942	8	313.180296939	310.903	326.543
4903	3	503.986071556	504.93	537.887
1961	5	206.545225848	204.112	214.076
980	9	105.67261481	105.055	108.401
4903	1	501.830596797	497.612	525.272
2942	10	14055050.0	313.282	329.939
245	9	1115750.0	24.912	25.546
1961	10	207.850881096	207.593	215.552
245	7	25.7372925136	25.528	25.959
