Load	Indent Number	My Area	Keyence Area	Keyence Surface Area
1961	8	65.0608542737	257.878	268.334
9807	3	226.843560553	915.873	1263.841
4903	6	153.060646027	603.952	635.531
2942	7	98.1685871628	386.436	403.052
1961	9	65.7706279791	257.898	266.675
4903	4	146.226109491	582.597	616.784
9807	4	0.0254523578139	610.863	782.415
9807	2	0.0497477902726	805.739	1372.942
1961	1	68.1880235087	265.533	275.979
1961	10	58.3819241983	232.042	243.648
4903	9	151.61159702	603.249	641.212
2942	9	91.7470729789	365.502	381.099
4903	10	144.185871628	573.697	603.459
2942	4	91.2114165394	356.782	386.344
1961	5	63.5036327456	251.027	264.346
1961	3	67.0444027951	266.899	277.313
4903	2	149.454509695	591.717	620.234
2942	2	98.3843537415	392.663	406.682
4903	8	164.540237864	653.515	682.356
9807	6	0.0832986255727	678.005	1199.781
1961	7	68.7300430376	269.269	278.652
980	9	35.451085196	140.009	144.151
2942	5	95.6696283956	381.433	397.808
2942	6	96.2642880281	379.585	395.106
980	8	34.8448563099	137.377	141.331
4903	3	156.352098663	622.074	650.601
980	4	35.7252765052	142.158	147.114
2942	3	94.73946041	375.527	390.805
2942	10	94.3333796103	375.185	390.011
4903	1	151.105442177	600.818	628.986
9807	8	264.847401546	1059.539	1128.409
