Load	Indent Number	My Area	Keyence Area	Keyence Surface Area
1961	5	214.84194497	214.845	298.374
980	9	113.655219492	113.349	118.129
4903	2	493.080330579	491.407	551.625
980	4	123.570247934	121.827	126.575
1961	7	223.687250578	223.423	241.456
2942	10	307.480046209	301.253	350.404
4903	4	449.558916194	450.503	521.717
980	6	111.901386263	11.039	115.933
4903	10	462.965950413	464.587	512.782
1961	4	247.875971435	247.331	257.857
2942	8	295.555030456	297.617	322.25
980	5	128.486662466	127.272	132.171
2942	2	293.923966942	302.679	329.529
4903	8	385.441608906	386.737	678.503
1961	2	233.324958678	227.502	239.566
4903	5	451.462402857	450.744	494.625
2942	3	410.649023314	399.695	413.956
4903	1	460.105545054	458.359	521.484
2942	4	347.342809917	347.561	392.025
980	7	113.831127914	114.072	119.431
1961	6	254.899180844	251.731	263.129
2942	7	280.600330579	282.589	329.672
